"Category","people","id","opportunity.x","percentile.x","cutoff.x","accessibility.x","opportunity.y","percentile.y","cutoff.y","accessibility.y","geometry","change"
"Population",500,"49",NA,50,45,20525.0706222738,NA,50,45,20859.3073866836,c(-122.664698803058, 49.1533308366504),334.236764409798
"Population",500,"50",NA,50,45,0,NA,50,45,0,c(-122.824186976317, 49.3165427697878),0
"Population",500,"51",NA,50,45,199277.078462981,NA,50,45,211836.421361392,c(-123.127693942026, 49.2709008414071),12559.342898411
"Population",500,"52",NA,50,45,128723.698302519,NA,50,45,138631.588165147,c(-122.919741039959, 49.1985482830625),9907.889862628
"Population",500,"53",NA,50,45,458.681049482459,NA,50,45,458.681049482459,c(-122.378394748468, 49.0801730925629),0
"Population",500,"54",NA,50,45,180137.361919728,NA,50,45,220878.776635324,c(-123.074289211315, 49.2806228505312),40741.414715596
"Population",500,"55",NA,50,45,133520.269134836,NA,50,45,160469.726499944,c(-123.058260865229, 49.2868880595692),26949.457365108
"Population",500,"56",NA,50,45,240001.03986052,NA,50,45,259172.184246781,c(-123.114510995725, 49.2785794604376),19171.144386261
"Population",500,"57",NA,50,45,7307.64292636472,NA,50,45,7314.6546507525,c(-122.668759555402, 49.2071111185485),7.0117243877803
"Population",500,"58",NA,50,45,32820.3186965963,NA,50,45,33981.7874253373,c(-123.182677786158, 49.1681973501151),1161.468728741
"Population",500,"59",NA,50,45,87822.3381148599,NA,50,45,100013.607902673,c(-122.944568987766, 49.2231184906927),12191.2697878131
"Population",500,"60",NA,50,45,135100.02360214,NA,50,45,157593.189425291,c(-123.024824696706, 49.2550374763675),22493.165823151
"Population",500,"61",NA,50,45,137916.558351381,NA,50,45,144712.692838287,c(-123.049496117332, 49.2240924821355),6796.134486906
"Population",500,"62",NA,50,45,95723.214065303,NA,50,45,111911.623302454,c(-122.854366608886, 49.1954702280868),16188.409237151
"Population",500,"63",NA,50,45,8733.1811896135,NA,50,45,8737.9458362305,c(-122.599565115689, 49.2296043178848),4.76464661699902
"Population",500,"64",NA,50,45,24345.5597974158,NA,50,45,28796.9458555176,c(-122.673971191935, 49.0909364863452),4451.3860581018
"Population",500,"65",NA,50,45,194888.329430064,NA,50,45,219948.247581351,c(-123.117377177168, 49.2573226457985),25059.918151287
"Population",500,"66",NA,50,45,0,NA,50,45,0,c(-123.226932423613, 49.4043438200978),0
