"id","accessibility","network","additional_length","row_name"
"462",0,"Planned Lines",0,21
"474",0,"Planned Lines",0,22
"478",0,"Planned Lines",0,23
"511",0,"Planned Lines",0,24
"513",0,"Planned Lines",0,25
"514",0,"Planned Lines",0,26
"593",0,"Planned Lines",0,27
"635",0,"Planned Lines",0,28
"645",0,"Planned Lines",0,29
"675",0,"Planned Lines",0,30
"690",0,"Planned Lines",0,31
"750",0,"Planned Lines",0,32
"755",0,"Planned Lines",0,33
"767",0,"Planned Lines",0,34
"786",0,"Planned Lines",0,35
"826",0,"Planned Lines",0,36
"830",0,"Planned Lines",0,37
"854",0,"Planned Lines",0,38
"1014",0,"Planned Lines",0,39
"1043",0,"Planned Lines",0,40
"1112",0,"Planned Lines",0,41
"1119",0,"Planned Lines",0,42
"1178",0,"Planned Lines",0,43
"1190",0,"Planned Lines",0,44
"1203",0,"Planned Lines",0,45
"1223",0,"Planned Lines",0,46
"1336",0,"Planned Lines",0,47
"1338",0,"Planned Lines",0,48
"1355",0,"Planned Lines",0,49
"1390",0,"Planned Lines",0,50
"1422",0,"Planned Lines",0,51
"1434",0,"Planned Lines",0,52
"1503",0,"Planned Lines",0,53
"1506",0,"Planned Lines",0,54
"1534",0,"Planned Lines",0,55
"1546",0,"Planned Lines",0,56
"1561",0,"Planned Lines",0,57
"1577",0,"Planned Lines",0,58
"1589",0,"Planned Lines",0,59
"1595",0,"Planned Lines",0,60
"1652",0,"Planned Lines",0,61
"1679",0,"Planned Lines",0,62
"1724",0,"Planned Lines",0,63
"1793",0,"Planned Lines",0,64
"1813",0,"Planned Lines",0,65
"1838",0,"Planned Lines",0,66
"1845",0,"Planned Lines",0,67
"1870",0,"Planned Lines",0,68
"1888",0,"Planned Lines",0,69
"1913",0,"Planned Lines",0,70
"1932",0,"Planned Lines",0,71
"1947",0,"Planned Lines",0,72
"1967",0,"Planned Lines",0,73
"1998",0,"Planned Lines",0,74
"2046",0,"Planned Lines",0,75
"2099",0,"Planned Lines",0,76
"2110",0,"Planned Lines",0,77
"2113",0,"Planned Lines",0,78
"2132",0,"Planned Lines",0,79
"2172",0,"Planned Lines",0,80
"2228",0,"Planned Lines",0,81
"2239",0,"Planned Lines",0,82
"2244",0,"Planned Lines",0,83
"2248",0,"Planned Lines",0,84
"2250",0,"Planned Lines",0,85
"2283",0,"Planned Lines",0,86
"2291",0,"Planned Lines",0,87
"2323",0,"Planned Lines",0,88
"2350",0,"Planned Lines",0,89
"2412",0,"Planned Lines",0,90
"2414",0,"Planned Lines",0,91
"2420",0,"Planned Lines",0,92
"2439",0,"Planned Lines",0,93
"2440",0,"Planned Lines",0,94
"2471",0,"Planned Lines",0,95
"2475",0,"Planned Lines",0,96
"2508",0,"Planned Lines",0,97
"2510",0,"Planned Lines",0,98
"2542",0,"Planned Lines",0,99
"2543",0,"Planned Lines",0,100
"2560",0,"Planned Lines",0,101
"2626",0,"Planned Lines",0,102
"2656",0,"Planned Lines",0,103
"2690",0,"Planned Lines",0,104
"2721",0,"Planned Lines",0,105
"2755",0,"Planned Lines",0,106
"2767",0,"Planned Lines",0,107
"2792",0,"Planned Lines",0,108
"2803",0,"Planned Lines",0,109
"2838",0,"Planned Lines",0,110
"2848",0,"Planned Lines",0,111
"2883",0,"Planned Lines",0,112
"2912",0,"Planned Lines",0,113
"2945",0,"Planned Lines",0,114
"2965",0,"Planned Lines",0,115
"2966",0,"Planned Lines",0,116
"2986",0,"Planned Lines",0,117
"3011",0,"Planned Lines",0,118
"3079",0,"Planned Lines",0,119
"3188",0,"Planned Lines",0,120
"3201",0,"Planned Lines",0,121
"3212",0,"Planned Lines",0,122
